 Begin Bound-State Code

 INSTRUCTION : OUT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3                           


 INSTRUCTION : ROT 0 0 1                                                                       


 INSTRUCTION : PARITY +1                                                                       


 INSTRUCTION : POT SPNOFF                                                                      

 **** Calculate multichannel bound-states ****
 

 Subroutine POT for atom atom Collisions has been called.  POT Currently Setup For:
     LA2= 2     SA2= 1     IA2= 3     LB2= 0     SB2=JB2= 1     IB2= 3

 Parity of atom A ((-1)**IPARA):-1     Parity of atom B ((-1)**IPARB): 1


 LMOL=.FALSE.  Therefore Scattering Calculations will be done in the Hund's case(e) representation.

 IDENT=.TRUE.  This Program Assumes that you have Identical Nuclei dissociating to Different Fragment
Electronic States that are g/u symmetrized.
 
 dipole strength:    8.93800000000000     


  The ZERO of Energy is taken at the BARYCENTER of the JA2=  1  atom plus the  2S atom.
     USE FA2_ZERO and FB2_ZERO to shift to a Hyperfine ASYMPTOTE and USE EZERO for an arbitrary shift relative to an asymptote


  
      NMX =                   216
       E0 =   6.312104876887246E-006  a0^{-2} to a.u.
  HARTREE =    219474.630680000       a.u. to cm^{-1}
      GHz =    6579683.90001994       a.u. to GHz

 INSTRUCTION : DIAG 100 5000 2                                                                 

 100.000 -2.625461802009E+00 -2.623624143159E+00 -1.365420796549E+00 -4.050544238482E-02 -2.882956115521E-02  1.255754832252E+00  1.260918224725E+00  2.343066207330E+02  2.343282737866E+02  2.345604443854E+02  2.355699676701E+02  2.356694668661E+02  2.356769201624E+02  2.372116148798E+02  2.372194486779E+02  2.380611385077E+02  2.395029985840E+02  2.406217212831E+02  2.406227703288E+02
 102.000 -2.474588523186E+00 -2.472635864226E+00 -1.287214162233E+00 -3.730450240250E-02 -2.493889066120E-02  1.183477755842E+00  1.188958287547E+00  2.344932475727E+02  2.345161779965E+02  2.347359537206E+02  2.356827831608E+02  2.357789567689E+02  2.357868488932E+02  2.372335254952E+02  2.372418628137E+02  2.380347348025E+02  2.393901178609E+02  2.404459974814E+02  2.404471201101E+02
 104.000 -2.335165974518E+00 -2.333093164947E+00 -1.215057295102E+00 -3.459305614495E-02 -2.151394706560E-02  1.116539325916E+00  1.122348752266E+00  2.346656599991E+02  2.346898965393E+02  2.348983438110E+02  2.357870508067E+02  2.358803861077E+02  2.358887296475E+02  2.372538691756E+02  2.372627312020E+02  2.380104469926E+02  2.392857855756E+02  2.402835809503E+02  2.402847797337E+02
 106.000 -2.206133533940E+00 -2.203935291549E+00 -1.148371789246E+00 -3.230256355215E-02 -1.848621913273E-02  1.054465655862E+00  1.060615772798E+00  2.348251705271E+02  2.348507386686E+02  2.350488226980E+02  2.358835607650E+02  2.359744768010E+02  2.359832840282E+02  2.372727748103E+02  2.372821832201E+02  2.379880655678E+02  2.391892119502E+02  2.401332363084E+02  2.401345138268E+02
 108.000 -2.086546657054E+00 -2.084217569670E+00 -1.086644854923E+00 -3.037539660124E-02 -1.579816366386E-02  9.968318952696E-01  1.003334509464E+00  2.349729495134E+02  2.349998712365E+02  2.351884666734E+02  2.359730170525E+02  2.360618755865E+02  2.360711584096E+02  2.372903592379E+02  2.373003361964E+02  2.379674058161E+02  2.390996933752E+02  2.399938634926E+02  2.399952223326E+02
 110.000 -1.975562314282E+00 -1.973096842244E+00 -1.029420729854E+00 -2.876291816852E-02 -1.340128831964E-02  9.432565161761E-01  9.501234125810E-01  2.351100428434E+02  2.351383364273E+02  2.353182366615E+02  2.360560483115E+02  2.361431628707E+02  2.361529327847E+02  2.373067284283E+02  2.373172965918E+02  2.379483044275E+02  2.390166016439E+02  2.398644807595E+02  2.398659235105E+02
 112.000 -1.872426480637E+00 -1.869818960124E+00 -9.762933616728E-01 -2.742392350627E-02 -1.125459717467E-02  8.933963302462E-01  9.006392369423E-01  2.352373871370E+02  2.352670670147E+02  2.354389923317E+02  2.361332170654E+02  2.362188604308E+02  2.362291284659E+02  2.373219785529E+02  2.373331610695E+02  2.379306166246E+02  2.389393746968E+02  2.397442100866E+02  2.397457393379E+02
 114.000 -1.776463357941E+00 -1.773708005212E+00 -9.269001524689E-01 -2.632337067346E-02 -9.323325314800E-03  8.469421365214E-01  8.545726868132E-01  2.353558228540E+02  2.353868995225E+02  2.355515042871E+02  2.362050276986E+02  2.362894381291E+02  2.363002147985E+02  2.373361969520E+02  2.373480174615E+02  2.379142137289E+02  2.388675086422E+02  2.396322645978E+02  2.396338829354E+02
 116.000 -1.687066063853E+00 -1.684156980532E+00 -8.809165941334E-01 -2.543134222284E-02 -7.577904752193E-03  8.036149137833E-01  8.116446055434E-01  2.354661056233E+02  2.354985856086E+02  2.356564646196E+02  2.362719333548E+02  2.363553197788E+02  2.363666150235E+02  2.373494630057E+02  2.373619456397E+02  2.378989810889E+02  2.388005508583E+02  2.395279377047E+02  2.395296477076E+02
 118.000 -1.603688566654E+00 -1.600619746135E+00 -8.380516535364E-01 -2.472219274315E-02 -5.993116221538E-03  7.631624839182E-01  7.716026362099E-01  2.355689160595E+02  2.356028019369E+02  2.357544960731E+02  2.363343419163E+02  2.364168882748E+02  2.364287114086E+02  2.373618489173E+02  2.373750182977E+02  2.378848163114E+02  2.387380940136E+02  2.394305937009E+02  2.394323979380E+02
