 Begin Bound-State Code

 INSTRUCTION : OUT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3                           


 INSTRUCTION : ROT 0 0 1                                                                       


 INSTRUCTION : PARITY -1                                                                       


 INSTRUCTION : POT SPNOFF                                                                      

 **** Calculate multichannel bound-states ****
 

 Subroutine POT for atom atom Collisions has been called.  POT Currently Setup For:
     LA2= 2     SA2= 1     IA2= 3     LB2= 0     SB2=JB2= 1     IB2= 3

 Parity of atom A ((-1)**IPARA):-1     Parity of atom B ((-1)**IPARB): 1


 LMOL=.FALSE.  Therefore Scattering Calculations will be done in the Hund's case(e) representation.

 IDENT=.TRUE.  This Program Assumes that you have Identical Nuclei dissociating to Different Fragment
Electronic States that are g/u symmetrized.
 
 dipole strength:    8.93800000000000     


  The ZERO of Energy is taken at the BARYCENTER of the JA2=  1  atom plus the  2S atom.
     USE FA2_ZERO and FB2_ZERO to shift to a Hyperfine ASYMPTOTE and USE EZERO for an arbitrary shift relative to an asymptote


  
      NMX =                   216
       E0 =   6.312104876887246E-006  a0^{-2} to a.u.
  HARTREE =    219474.630680000       a.u. to cm^{-1}
      GHz =    6579683.90001994       a.u. to GHz

 INSTRUCTION : DIAG 100 5000 2                                                                 

 100.000 -1.371870648817E+00 -3.906250535179E-02 -3.138789848878E-02  1.246898952156E+00  1.256010414959E+00  2.617097711421E+00  2.618463120794E+00  2.345412158791E+02  2.355700293660E+02  2.372104356628E+02  2.372183138930E+02  2.380601621340E+02  2.395029064305E+02  2.395818044239E+02  2.395871840508E+02  2.405900768233E+02  2.406233305265E+02  2.408829544988E+02  2.409062823256E+02
 102.000 -1.294064124373E+00 -3.591738878601E-02 -2.777334271347E-02  1.174108467635E+00  1.183761541211E+00  2.466948456572E+00  2.468391568106E+00  2.347155944845E+02  2.356828538665E+02  2.372322833645E+02  2.372406435891E+02  2.380337012371E+02  2.393900073510E+02  2.394644434221E+02  2.394701601504E+02  2.404131012539E+02  2.404478083519E+02  2.406945823446E+02  2.407187667395E+02
 104.000 -1.222323839095E+00 -3.324864889001E-02 -2.461699464241E-02  1.106640559886E+00  1.116853739342E+00  2.328140939081E+00  2.329663714613E+00  2.348768302459E+02  2.357871313295E+02  2.372525615173E+02  2.372614238835E+02  2.380093541364E+02  2.392856537520E+02  2.393560507294E+02  2.393621195360E+02  2.402494516381E+02  2.402856116911E+02  2.405205028948E+02  2.405455223462E+02
 106.000 -1.156071668725E+00 -3.099121908443E-02 -2.185360701126E-02  1.044021528116E+00  1.054813268752E+00  2.199629120619E+00  2.201233436118E+00  2.350261345060E+02  2.358836519288E+02  2.372713989533E+02  2.372807840542E+02  2.379869112961E+02  2.391890554700E+02  2.392557703245E+02  2.392622065257E+02  2.400978964725E+02  2.401355061082E+02  2.403593913272E+02  2.403852214627E+02
 108.000 -1.094795086780E+00 -2.909037330532E-02 -1.942830592252E-02  9.858267546260E-01  9.972154274266E-01  2.080480661175E+00  2.082168296625E+00  2.351645871004E+02  2.359731196950E+02  2.372889124548E+02  2.372988413278E+02  2.379661879791E+02  2.390995084646E+02  2.391628427333E+02  2.391696619761E+02  2.399573393588E+02  2.399963924635E+02  2.402100675718E+02  2.402366814172E+02
 110.000 -1.038038573122E+00 -2.749994263446E-02 -1.729481131800E-02  9.316749936132E-01  9.436788372919E-01  1.969862767972E+00  1.971635397020E+00  2.352931526941E+02  2.360561632816E+02  2.373052079363E+02  2.373157020605E+02  2.379470208509E+02  2.390163840465E+02  2.390765924878E+02  2.390838107413E+02  2.398268019844E+02  2.398672899054E+02  2.400714781684E+02  2.400988464255E+02
 112.000 -9.853962934216E-01 -2.618086307570E-02 -1.541398889160E-02  8.812233909839E-01  8.938604603931E-01  1.867030019932E+00  1.868889199332E+00  2.354126948425E+02  2.361333452206E+02  2.373203815151E+02  2.373314628079E+02  2.379292651097E+02  2.389391196155E+02  2.389964174261E+02  2.390040509737E+02  2.397054095089E+02  2.397473212626E+02  2.399426806801E+02  2.399707720146E+02
 114.000 -9.365058404902E-01 -2.509998848762E-02 -1.375266745428E-02  8.341631347927E-01  8.474512454998E-01  1.771313863023E+00  1.773261021937E+00  2.355239881267E+02  2.362051699024E+02  2.373345204791E+02  2.373462112911E+02  2.379127920523E+02  2.388672106733E+02  2.389217795344E+02  2.389298449668E+02  2.395923779821E+02  2.396357004599E+02  2.398228302630E+02  2.398516115984E+02
 116.000 -8.910428661619E-01 -2.422911665940E-02 -1.228266973969E-02  7.902156503492E-01  8.041723191887E-01  1.682113523122E+00  1.684149952335E+00  2.356277286542E+02  2.362720904735E+02  2.373477041575E+02  2.373600272674E+02  2.378974870022E+02  2.388002039170E+02  2.388521970844E+02  2.388607112950E+02  2.394870034819E+02  2.395317216496E+02  2.397111680632E+02  2.397406048735E+02
 118.000 -8.487164627509E-01 -2.354418736996E-02 -1.098001548733E-02  7.491292663719E-01  7.637716477839E-01  1.598888124957E+00  1.601014966057E+00  2.357245431685E+02  2.363345148165E+02  2.373600047054E+02  2.373729833124E+02  2.378832475403E+02  2.387376912499E+02  2.387872378612E+02  2.387962180448E+02  2.393886527117E+02  2.394347497962E+02  2.396070111652E+02  2.396370677617E+02
