 Begin Bound-State Code

 INSTRUCTION : OUT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3                           


 INSTRUCTION : ROT 2 2 1                                                                       


 INSTRUCTION : PARITY +1                                                                       


 INSTRUCTION : POT SPNOFF                                                                      

 **** Calculate multichannel bound-states ****
 

 Subroutine POT for atom atom Collisions has been called.  POT Currently Setup For:
     LA2= 2     SA2= 1     IA2= 3     LB2= 0     SB2=JB2= 1     IB2= 3

 Parity of atom A ((-1)**IPARA):-1     Parity of atom B ((-1)**IPARB): 1


 LMOL=.FALSE.  Therefore Scattering Calculations will be done in the Hund's case(e) representation.

 IDENT=.TRUE.  This Program Assumes that you have Identical Nuclei dissociating to Different Fragment
Electronic States that are g/u symmetrized.
 
 dipole strength:    8.93800000000000     


  The ZERO of Energy is taken at the BARYCENTER of the JA2=  1  atom plus the  2S atom.
     USE FA2_ZERO and FB2_ZERO to shift to a Hyperfine ASYMPTOTE and USE EZERO for an arbitrary shift relative to an asymptote


  
      NMX =                   216
       E0 =   6.312104876887246E-006  a0^{-2} to a.u.
  HARTREE =    219474.630680000       a.u. to cm^{-1}
      GHz =    6579683.90001994       a.u. to GHz

 INSTRUCTION : DIAG 100 5000 2                                                                 

 100.000 -2.623671042601E+00 -1.304135467942E+00 -3.823806417892E-02 -3.383105783018E-02  1.190132540110E+00  1.316604227747E+00  1.318325558737E+00  2.617430879583E+00  2.343240262527E+02  2.345910864403E+02  2.356301388158E+02  2.356334398991E+02  2.356695533847E+02  2.371721442354E+02  2.371802430711E+02  2.372539481064E+02  2.380215854500E+02  2.395627469139E+02  2.395644509971E+02  2.395871025905E+02  2.405694293025E+02  2.406516838275E+02  2.406693925348E+02  2.408974839889E+02
 102.000 -2.472684919290E+00 -1.226101240066E+00 -3.489641530852E-02 -3.035738518122E-02  1.117753648966E+00  1.244163458319E+00  1.245963957426E+00  2.467300843282E+00  2.345117183994E+02  2.347657372140E+02  2.357428717742E+02  2.357463577789E+02  2.357790692824E+02  2.371940792149E+02  2.372027004892E+02  2.372760337463E+02  2.379951510745E+02  2.394497639748E+02  2.394515260544E+02  2.394701072583E+02  2.403934225238E+02  2.404752341816E+02  2.404938074681E+02  2.407097731329E+02
 104.000 -2.333144470418E+00 -1.154126350241E+00 -3.203884826862E-02 -2.734654315701E-02  1.050711256029E+00  1.177056300055E+00  1.178936077617E+00  2.328512916205E+00  2.346852222096E+02  2.349272465659E+02  2.358470505810E+02  2.358507265107E+02  2.358805290650E+02  2.372144481828E+02  2.372236153590E+02  2.372965622268E+02  2.379708351389E+02  2.393453236683E+02  2.393471252015E+02  2.393621154206E+02  2.402307254519E+02  2.403120894891E+02  2.403315355238E+02  2.405363530066E+02
 106.000 -2.203988940400E+00 -1.087632784162E+00 -2.959679255658E-02 -2.473326169069E-02  9.885316419649E-01  1.114808914590E+00  1.116767827505E+00  2.200021026390E+00  2.348458473913E+02  2.350768252476E+02  2.359434649650E+02  2.359473355305E+02  2.359746551921E+02  2.372333802717E+02  2.372431174557E+02  2.373156626670E+02  2.379484282644E+02  2.392486358294E+02  2.392504437324E+02  2.392622859340E+02  2.400801040674E+02  2.401610163296E+02  2.401813411936E+02  2.403758963946E+02
 108.000 -2.084273652507E+00 -1.026108154804E+00 -2.751260417264E-02 -2.246263428163E-02  9.307901506604E-01  1.056996503007E+00  1.059034143938E+00  2.080892796522E+00  2.349947612693E+02  2.352155524561E+02  2.360328185104E+02  2.360368881291E+02  2.360620949105E+02  2.372509925675E+02  2.372613245102E+02  2.373334521514E+02  2.379277458954E+02  2.391589962977E+02  2.391607491964E+02  2.391698882125E+02  2.399404596865E+02  2.400209166074E+02  2.400421242851E+02  2.402272208478E+02
 110.000 -1.973155446667E+00 -9.690971126531E-01 -2.573764582746E-02 -2.048833810836E-02  8.771054771046E-01  1.003237591911E+00  1.005353279351E+00  1.970295392750E+00  2.351330065173E+02  2.353443921736E+02  2.361157394274E+02  2.361200122446E+02  2.361434290727E+02  2.372673912921E+02  2.372783433892E+02  2.373500369103E+02  2.379086249023E+02  2.390757758227E+02  2.390773542845E+02  2.390843063584E+02  2.398108119562E+02  2.398908105271E+02  2.399129029209E+02  2.400892705700E+02
 112.000 -1.869880169978E+00 -9.161940269951E-01 -2.423072977924E-02 -1.877118560573E-02  8.271346864185E-01  9.531890503057E-01  9.553818196468E-01  1.867483349053E+00  2.352615164113E+02  2.354642072325E+02  2.361927898125E+02  2.361972697450E+02  2.362191798065E+02  2.372826728752E+02  2.372942711660E+02  2.373655133900E+02  2.378909207103E+02  2.389984089897E+02  2.389995811525E+02  2.390050566969E+02  2.396902842488E+02  2.397698219704E+02  2.397927989384E+02  2.399611008577E+02
 114.000 -1.773771899747E+00 -8.670367291985E-01 -2.295684962176E-02 -1.727794152493E-02  7.805688636377E-01  9.065417369133E-01  9.088103326459E-01  1.771788062512E+00  2.353811279874E+02  2.355757714536E+02  2.362644736320E+02  2.362691644351E+02  2.362898171998E+02  2.372969249222E+02  2.373091960855E+02  2.373799692184E+02  2.378745048643E+02  2.389263557720E+02  2.389268002570E+02  2.389317622654E+02  2.395780910820E+02  2.396571658994E+02  2.396810253141E+02  2.398418646962E+02
 116.000 -1.684223633438E+00 -8.213011466748E-01 -2.188614330255E-02 -1.598035346624E-02  7.371293082896E-01  8.630166919893E-01  8.653595611958E-01  1.682608706097E+00  2.354925934221E+02  2.356797801514E+02  2.363312436230E+02  2.363361489763E+02  2.363557651409E+02  2.373102270867E+02  2.373231984348E+02  2.373934840756E+02  2.378592629563E+02  2.388583535044E+02  2.388593450372E+02  2.388639644936E+02  2.394735272535E+02  2.395521374765E+02  2.395768753030E+02  2.397308011787E+02
 118.000 -1.600689224472E+00 -7.786966865334E-01 -2.099304194506E-02 -1.485435472641E-02  6.965642001461E-01  8.223618000383E-01  8.247770873183E-01  1.599404347559E+00  2.355965899013E+02  2.357768592467E+02  2.363935072736E+02  2.363986308808E+02  2.364174064350E+02  2.373226518551E+02  2.373363513245E+02  2.374061304758E+02  2.378450928545E+02  2.387942654878E+02  2.387967165657E+02  2.388010512137E+02  2.393759584302E+02  2.394541026424E+02  2.394797130323E+02  2.396272254755E+02
