 Begin Bound-State Code

 INSTRUCTION : OUT 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3                           


 INSTRUCTION : ROT 4 4 1                                                                       


 INSTRUCTION : PARITY -1                                                                       


 INSTRUCTION : POT SPNOFF                                                                      

 **** Calculate multichannel bound-states ****
 

 Subroutine POT for atom atom Collisions has been called.  POT Currently Setup For:
     LA2= 2     SA2= 1     IA2= 3     LB2= 0     SB2=JB2= 1     IB2= 3

 Parity of atom A ((-1)**IPARA):-1     Parity of atom B ((-1)**IPARB): 1


 LMOL=.FALSE.  Therefore Scattering Calculations will be done in the Hund's case(e) representation.

 IDENT=.TRUE.  This Program Assumes that you have Identical Nuclei dissociating to Different Fragment
Electronic States that are g/u symmetrized.
 
 dipole strength:    8.93800000000000     


  The ZERO of Energy is taken at the BARYCENTER of the JA2=  1  atom plus the  2S atom.
     USE FA2_ZERO and FB2_ZERO to shift to a Hyperfine ASYMPTOTE and USE EZERO for an arbitrary shift relative to an asymptote


  
      NMX =                   216
       E0 =   6.312104876887246E-006  a0^{-2} to a.u.
  HARTREE =    219474.630680000       a.u. to cm^{-1}
      GHz =    6579683.90001994       a.u. to GHz

 INSTRUCTION : DIAG 100 5000 2                                                                 

 100.000 -1.237221231788E+00  2.346314755204E+02  2.356967662052E+02  2.379816674505E+02  2.396242031188E+02
 102.000 -1.158984967886E+00  2.348059431259E+02  2.358098337652E+02  2.379551687395E+02  2.395112191660E+02
 104.000 -1.086798985339E+00  2.349672677105E+02  2.359143615314E+02  2.379307888567E+02  2.394067763479E+02
 106.000 -1.020084955836E+00  2.351166607537E+02  2.360111395725E+02  2.379083184000E+02  2.393100844673E+02
 108.000 -9.583301677012E-01  2.352552021997E+02  2.361008717957E+02  2.378875728043E+02  2.392204394801E+02
 110.000 -9.010789349316E-01  2.353838567954E+02  2.361841867123E+02  2.378683889421E+02  2.391372127302E+02
 112.000 -8.479252772660E-01  2.355034881538E+02  2.362616466930E+02  2.378506222505E+02  2.390598416948E+02
 114.000 -7.985066622299E-01  2.356148708900E+02  2.363337559473E+02  2.378341442952E+02  2.389878220053E+02
 116.000 -7.524986378166E-01  2.357187011232E+02  2.364009674220E+02  2.378188406961E+02  2.389207005494E+02
 118.000 -7.096102148130E-01  2.358156055864E+02  2.364636887794E+02  2.378046093560E+02  2.388580694935E+02
 120.000 -6.695798822854E-01  2.359061495494E+02  2.365222875930E+02  2.377913589424E+02  2.387995610878E+02
 122.000 -6.321721596189E-01  2.359908437243E+02  2.365770958723E+02  2.377790075824E+02  2.387448431420E+02
 124.000 -5.971746046967E-01  2.360701502992E+02  2.366284140139E+02  2.377674817374E+02  2.386936150752E+02
 126.000 -5.643952110466E-01  2.361444882210E+02  2.366765142588E+02  2.377567152298E+02  2.386456044595E+02
 128.000 -5.336601376572E-01  2.362142378320E+02  2.367216437244E+02  2.377466483991E+02  2.386005639889E+02
 130.000 -5.048117241182E-01  2.362797449452E+02  2.367640270696E+02  2.377372273676E+02  2.385582688154E+02
 132.000 -4.777067511530E-01  2.363413244371E+02  2.368038688416E+02  2.377284034008E+02  2.385185142034E+02
